,total_white_wins,total_games_white,white_win_rate_overall,total_black_wins,total_games_black,black_win_rate_overall,total_wins,total_games,overall_win_rate
iteration_0,716,1260,0.5682539682539682,687,1260,0.5452380952380952,1403,2520,0.5567460317460318
iteration_1,691,1260,0.5484126984126985,680,1260,0.5396825396825397,1371,2520,0.544047619047619
iteration_10,600,1200,0.5,601,1200,0.5008333333333334,1201,2400,0.5004166666666666
iteration_11,575,1200,0.4791666666666667,572,1200,0.4766666666666667,1147,2400,0.47791666666666666
iteration_12,573,1200,0.4775,581,1200,0.4841666666666667,1154,2400,0.48083333333333333
iteration_13,598,1200,0.49833333333333335,618,1200,0.515,1216,2400,0.5066666666666667
iteration_14,564,1200,0.47,588,1200,0.49,1152,2400,0.48
iteration_15,595,1200,0.49583333333333335,586,1200,0.48833333333333334,1181,2400,0.4920833333333333
iteration_16,565,1200,0.4708333333333333,521,1200,0.43416666666666665,1086,2400,0.4525
iteration_17,559,1200,0.4658333333333333,554,1200,0.46166666666666667,1113,2400,0.46375
iteration_18,590,1200,0.49166666666666664,563,1200,0.4691666666666667,1153,2400,0.48041666666666666
iteration_19,576,1200,0.48,537,1200,0.4475,1113,2400,0.46375
iteration_2,742,1260,0.5888888888888889,727,1260,0.5769841269841269,1469,2520,0.582936507936508
iteration_20,550,1200,0.4583333333333333,553,1200,0.4608333333333333,1103,2400,0.45958333333333334
iteration_21,527,1200,0.43916666666666665,549,1200,0.4575,1076,2400,0.4483333333333333
iteration_22,556,1200,0.4633333333333333,562,1200,0.4683333333333333,1118,2400,0.4658333333333333
iteration_23,569,1200,0.4741666666666667,552,1200,0.46,1121,2400,0.46708333333333335
iteration_24,557,1200,0.46416666666666667,578,1200,0.4816666666666667,1135,2400,0.47291666666666665
iteration_3,666,1260,0.5285714285714286,696,1260,0.5523809523809524,1362,2520,0.5404761904761904
iteration_4,621,1200,0.5175,653,1200,0.5441666666666667,1274,2400,0.5308333333333334
iteration_5,592,1200,0.49333333333333335,637,1200,0.5308333333333334,1229,2400,0.5120833333333333
iteration_6,601,1200,0.5008333333333334,592,1200,0.49333333333333335,1193,2400,0.4970833333333333
iteration_7,657,1200,0.5475,636,1200,0.53,1293,2400,0.53875
iteration_8,584,1200,0.4866666666666667,603,1200,0.5025,1187,2400,0.4945833333333333
iteration_9,598,1200,0.49833333333333335,571,1200,0.47583333333333333,1169,2400,0.4870833333333333
